Country,Income_per_Capita_USD
Luxembourg,140941.0
Ireland,108920.0
Switzerland,104896.0
Singapore,92932.0
Iceland,90284.0
Norway,89694.0
United States,89105.0
Macau,76314.0
Denmark,74969.0
Qatar,71653.0
Netherlands,70450.0
Australia,64548.0
San Marino,59603.0
Austria,58192.0
Sweden,58100.0
Belgium,57772.0
Israel,57760.0
Hong Kong,56031.0
Germany,55911.0
United Kingdom,54949.0
Finland,54163.0
Canada,53558.0
United Arab Emirates,51294.0
France,46792.0
New Zealand,46126.0
Malta,45735.0
Andorra,45263.0
European Union[n 1],44220.0
Cyprus,41132.0
Italy,41091.0
Puerto Rico,38605.0
Aruba,37775.0
Bahamas,36784.0
Spain,36192.0
Slovenia,35332.0
Brunei,34970.0
South Korea,34642.0
Taiwan,34426.0
Japan,33956.0
Saudi Arabia,33291.0
Czech Republic,33039.0
Estonia,32760.0
Guyana,32326.0
Kuwait,32289.0
Lithuania,30835.0
Portugal,30002.0
Bahrain,29893.0
Slovakia,27130.0
Poland,26805.0
Barbados,25901.0
Greece,25756.0
Croatia,25674.0
Hungary,24809.0
Latvia,24374.0
Uruguay,22693.0
Antigua and Barbuda,22630.0
Saint Kitts and Nevis,21911.0
Seychelles,21633.0
Romania,21421.0
Oman,20546.0
Panama,20080.0
Costa Rica,19095.0
Palau,18993.0
Bulgaria,18522.0
Trinidad and Tobago,18445.0
Maldives,18207.0
Chile,17015.0
Turkey,16709.0
Kazakhstan,15100.0
Saint Lucia,14499.0
Malaysia,14423.0
Argentina,14362.0
Russia,14258.0
World,14217.0
Serbia,14174.0
China,13688.0
Montenegro,13508.0
Turkmenistan,13338.0
Nauru,12727.0
Mexico,12692.0
Grenada,12591.0
Mauritius,12339.0
Dominican Republic,11743.0
Saint Vincent and the Grenadines,11162.0
Albania,10527.0
Brazil,9964.0
North Macedonia,9882.0
Dominica,9869.0
Georgia,9571.0
Armenia,8857.0
Gabon,8842.0
Peru,8814.0
Belize,8648.0
Bosnia and Herzegovina,8362.0
Moldova,8260.0
Marshall Islands,8133.0
Colombia,8054.0
Belarus,7875.0
Jamaica,7778.0
Thailand,7767.0
Equatorial Guinea,7750.0
Azerbaijan,7604.0
Mongolia,7201.0
Kosovo,7147.0
Botswana,7021.0
Ecuador,6942.0
Suriname,6858.0
Libya,6801.0
Fiji,6740.0
Guatemala,6698.0
Tuvalu,6543.0
Paraguay,6522.0
South Africa,6397.0
Ukraine,6261.0
El Salvador,5722.0
Tonga,5721.0
Algeria,5691.0
Iraq,5668.0
Samoa,5471.0
Cape Verde,5421.0
Iran,5300.0
Micronesia,5291.0
Lebanon,5282.0
Indonesia,5027.0
Jordan,4903.0
Vietnam,4806.0
Namibia,4661.0
Eswatini,4613.0
Tunisia,4528.0
Bolivia,4525.0
Morocco,4397.0
Philippines,4350.0
Djibouti,4343.0
Sri Lanka,4325.0
Bhutan,4302.0
Venezuela,4068.0
São Tomé and Príncipe,3569.0
Honduras,3519.0
Uzbekistan,3514.0
Vanuatu,3492.0
Palestine,3259.0
Egypt,3174.0
Nicaragua,3019.0
Angola,2884.0
India,2878.0
Ivory Coast,2872.0
Cambodia,2870.0
Kyrgyzstan,2747.0
Bangladesh,2689.0
Haiti,2672.0
Papua New Guinea,2565.0
Ghana,2519.0
Mauritania,2478.0
Kenya,2468.0
Kiribati,2414.0
Solomon Islands,2379.0
Congo,2356.0
Zimbabwe,2199.0
Laos,2096.0
Guinea,1904.0
Cameroon,1865.0
Comoros,1865.0
Senegal,1811.0
Pakistan,1580.0
Benin,1532.0
Timor-Leste,1491.0
Nepal,1458.0
Tajikistan,1432.0
Uganda,1339.0
Zambia,1332.0
Tanzania,1280.0
Myanmar,1178.0
Guinea-Bissau,1127.0
Burkina Faso,1107.0
Lesotho,1098.0
Ethiopia,1066.0
Togo,1053.0
Rwanda,1043.0
Chad,991.0
Gambia,988.0
Mali,936.0
Sierra Leone,916.0
Liberia,908.0
Nigeria,807.0
Somalia,766.0
Niger,751.0
DR Congo,743.0
Mozambique,663.0
Sudan,625.0
Madagascar,595.0
Malawi,580.0
Central African Republic,532.0
Burundi,490.0
Yemen,417.0
Afghanistan,409.0
South Sudan,251.0
